"X","sigma","ea","er","p","lowerCI","upperCI","Day","truncationDist"
1,110.321550228078,76364.8034395741,155.909178342067,0.151922949320615,0.105829646686226,0.25384007477159,158,400
2,106.298916243176,70936.8345529004,150.266083108505,0.141124348329826,0.102541359252682,0.241408038306233,159,400
3,102.422958806445,65881.3790494951,144.812617775096,0.131066839167975,0.0850833590821893,0.197557395302761,160,400
4,98.6883296784346,61177.7971890117,139.547474574818,0.121709360376308,0.0723164445864184,0.200832607290719,161,400
5,95.0898756315415,56804.9259399641,134.467726650779,0.113009809441429,0.0795584625013178,0.161548187907747,162,400
6,91.6226313393356,52741.6648787425,129.569260801689,0.104926208404351,0.0668999880046928,0.161642984575911,163,400
7,88.2818125251524,48967.4196446039,124.847161656915,0.0974175860861737,0.0736494885990167,0.137784331418526,164,400
8,85.0628093605096,45462.4101862003,120.296029078313,0.0904445913250638,0.0524533272781361,0.128307900745212,165,400
9,81.9611801042359,42207.8617521254,115.910222458505,0.0839698729398764,0.0522228912355149,0.121626996601227,166,400
10,78.9726449735347,39186.1024186653,111.684035568526,0.0779582737554482,0.0512790761835907,0.107264146834929,167,400
11,76.0930802385266,36380.5921674102,107.611812326098,0.0723768884506702,0.0462067167989137,0.105125505181931,168,400
12,73.3185125321211,33775.9062032084,103.688016951322,0.0671950303706103,0.0420376468516614,0.0936181746416591,169,400
13,70.6451133673661,31357.6908171525,99.9072719825455,0.0623841437187145,0.0351692348026372,0.0876610618580532,170,400
14,68.0691938547109,29112.6050814447,96.2643756017163,0.0579176875624269,0.0311476347895969,0.076125553337221,171,400
15,65.5871996118926,27028.2570764836,92.7543068205553,0.0537710089610107,0.0283644247095293,0.0766132628886369,172,400
16,63.1957058594213,25093.1397637375,89.3722242208911,0.0499212153886827,0.0275676662693027,0.0780607917512221,173,400
17,60.8914126948994,23296.5691568862,86.113461646837,0.0463470517300079,0.0224127948283025,0.0591439148912118,174,400
18,58.671140539651,21628.6259482247,82.9735226677232,0.0430287841493199,0.0212399261072398,0.0587768639576858,175,400
19,56.531825751381,20080.1009422381,79.9480746827766,0.0399480915342677,0.0176395087146331,0.0582613032406357,176,400
20,54.4705163968083,18642.4442677599,77.0329430377569,0.0370879644566144,0.0191846631810671,0.0518132228588898,177,400
21,52.4843681784412,17307.7181869209,74.2241052905317,0.0344326112886246,0.0123496518023535,0.050513472630076,178,400
22,50.5706405098736,16068.5532720398,71.5176856669814,0.0319673710197573,0.0124200804001493,0.0444878959357474,179,400
23,48.7266927341874,14918.1077174913,68.9099497143352,0.0296786323102012,0.0115809612069186,0.0412368055457478,180,400
24,46.9499804802423,13850.0295641428,66.3972991484174,0.0275537583387777,0.00919845024655602,0.0397529242500324,181,400
25,111.375963303816,75868.9602973323,155.402188263635,0.26833155685696,0.161102594881931,0.389920344903586,158,300
26,107.405798630011,71016.8868011755,150.350846870942,0.251170857275659,0.160578737876556,0.383315813464509,159,300
27,103.577156481081,66391.0948526642,145.371736751574,0.234810464957431,0.15631633570313,0.331832394030703,160,300
28,99.8849920725665,61998.202027478,140.480036414311,0.219273784788513,0.118934824963325,0.300509948109956,161,300
29,96.3244404489812,57841.5037030051,135.689065367858,0.204572471782254,0.128890813601116,0.293923127347324,162,300
30,92.890810073535,53921.1504846197,131.010057910293,0.190707058596204,0.12162915585161,0.285731672809054,163,300
31,89.5795766463631,50234.4331602057,126.452033205213,0.177667963352581,0.117637036766843,0.252334647085605,164,300
32,86.3863771431127,46776.1536239463,122.021769107622,0.165436801512821,0.101972972947104,0.262277613480102,165,300
33,83.3070040660332,43539.0543149922,117.723877881911,0.153987904706167,0.0959759318157844,0.222751282019422,166,300
34,80.3373998999954,40514.2756242499,113.560972445527,0.143289938475263,0.0919800979812203,0.20839409960499,167,300
35,77.4736517661342,37691.810865755,109.533903549264,0.133307511408216,0.0844842618088726,0.198574353023505,168,300
36,74.7119862660701,35060.9317353075,105.642042720516,0.124002679890704,0.072011280280856,0.182379068750665,169,300
37,72.048764509916,32610.5631287054,101.883583750708,0.115336273754306,0.0653148916713591,0.169674037414101,170,300
38,69.4804773215191,30329.5937873826,98.2558372131771,0.107268994960693,0.0577114974281048,0.156500402133954,171,300
39,67.0037406146183,28207.1172733841,94.755497407083,0.0997622698762635,0.0532839498829967,0.147738279144254,172,300
40,64.615290933826,26232.6050588791,91.3788680746054,0.0927788614510683,0.0475725079389574,0.142980129340811,173,300
41,62.3119811545577,24396.0191175294,88.1220407652839,0.0862832674293151,0.0364746983278529,0.116663644732365,174,300
42,60.0907763362454,22687.8748246301,84.9810264304927,0.0802419428131122,0.0438030973010465,0.132543082697824,175,300
43,57.9487497233677,21099.2661892602,81.951845734339,0.0746233891029434,0.0343378242197927,0.121211867543548,176,300
44,55.8830788890307,19621.8648405837,79.0305862569671,0.0693981507124436,0.0329769172954556,0.108147729452976,177,300
45,53.8910420160166,18247.9023985251,76.2134354006396,0.0645387526174162,0.0284799668313581,0.118645404617632,178,300
46,51.9700143103986,16970.1435472308,73.4966969396696,0.0600196051226849,0.0244315013914857,0.10918867242071,179,300
47,50.117464543,15781.8548504071,70.8767974812788,0.0558168935689134,0.023536587067264,0.0990343031928397,180,300
48,48.3309517141366,14676.7724468444,68.3502872495824,0.0519084640788936,0.0258915463055595,0.1106694526322,181,300
