"sigma","ea","er","p","lowerCI","upperCI","Day","truncationDist"
110.321550228078,76364.8034395741,155.909178342067,0.151922949320615,0.105829646686226,0.25384007477159,158,400
106.298916243176,70936.8345529004,150.266083108505,0.141124348329826,0.102541359252682,0.241408038306233,159,400
102.422958806445,65881.3790494951,144.812617775096,0.131066839167975,0.0850833590821893,0.197557395302761,160,400
98.6883296784346,61177.7971890117,139.547474574818,0.121709360376308,0.0723164445864184,0.200832607290719,161,400
95.0898756315415,56804.9259399641,134.467726650779,0.113009809441429,0.0795584625013178,0.161548187907747,162,400
91.6226313393356,52741.6648787425,129.569260801689,0.104926208404351,0.0668999880046928,0.161642984575911,163,400
88.2818125251524,48967.4196446039,124.847161656915,0.0974175860861737,0.0736494885990167,0.137784331418526,164,400
85.0628093605096,45462.4101862003,120.296029078313,0.0904445913250638,0.0524533272781361,0.128307900745212,165,400
81.9611801042359,42207.8617521254,115.910222458505,0.0839698729398764,0.0522228912355149,0.121626996601227,166,400
78.9726449735347,39186.1024186653,111.684035568526,0.0779582737554482,0.0512790761835907,0.107264146834929,167,400
76.0930802385266,36380.5921674102,107.611812326098,0.0723768884506702,0.0462067167989137,0.105125505181931,168,400
73.3185125321211,33775.9062032084,103.688016951322,0.0671950303706103,0.0420376468516614,0.0936181746416591,169,400
70.6451133673661,31357.6908171525,99.9072719825455,0.0623841437187145,0.0351692348026372,0.0876610618580532,170,400
68.0691938547109,29112.6050814447,96.2643756017163,0.0579176875624269,0.0311476347895969,0.076125553337221,171,400
65.5871996118926,27028.2570764836,92.7543068205553,0.0537710089610107,0.0283644247095293,0.0766132628886369,172,400
63.1957058594213,25093.1397637375,89.3722242208911,0.0499212153886827,0.0275676662693027,0.0780607917512221,173,400
60.8914126948994,23296.5691568862,86.113461646837,0.0463470517300079,0.0224127948283025,0.0591439148912118,174,400
58.671140539651,21628.6259482247,82.9735226677232,0.0430287841493199,0.0212399261072398,0.0587768639576858,175,400
56.531825751381,20080.1009422381,79.9480746827766,0.0399480915342677,0.0176395087146331,0.0582613032406357,176,400
54.4705163968083,18642.4442677599,77.0329430377569,0.0370879644566144,0.0191846631810671,0.0518132228588898,177,400
52.4843681784412,17307.7181869209,74.2241052905317,0.0344326112886246,0.0123496518023535,0.050513472630076,178,400
50.5706405098736,16068.5532720398,71.5176856669814,0.0319673710197573,0.0124200804001493,0.0444878959357474,179,400
48.7266927341874,14918.1077174913,68.9099497143352,0.0296786323102012,0.0115809612069186,0.0412368055457478,180,400
46.9499804802423,13850.0295641428,66.3972991484174,0.0275537583387777,0.00919845024655602,0.0397529242500324,181,400
