"","Lark_ID","firstInterval","firstDet","site","Count_Date","Start_Time","dayOfYear","surveyYear","Interval_1","Interval_2","Interval_3","Interval_4"
"61","623",1,"Singing","2145",2023-06-05,6H 33M 0S,156,2023,"Singing","Singing","Singing","Singing"
"62","624",1,"Singing","916",2023-06-09,6H 6M 0S,160,2023,"Singing","Singing",NA,NA
"63","625",1,"Singing","1929",2023-06-10,8H 42M 0S,161,2023,"Singing","Singing","Singing",NA
"64","626",1,"Singing","1929",2023-06-10,8H 42M 0S,161,2023,"Singing","Singing",NA,NA
"65","627",1,"Singing","3063",2023-06-10,6H 28M 0S,161,2023,"Singing",NA,"Singing","Singing"
"66","632",2,"Singing","692",2023-06-08,7H 48M 0S,159,2023,NA,"Singing",NA,NA
"67","633",1,"Singing","3969",2023-06-08,8H 13M 0S,159,2023,"Singing","Singing",NA,NA
"68","634",2,"Singing","2728",2023-06-08,6H 14M 0S,159,2023,NA,"Singing","Singing",NA
"69","635",1,"Singing","1121",2023-06-09,8H 37M 0S,160,2023,"Singing","Singing",NA,NA
"70","636",2,"Singing","833",2023-05-17,6H 47M 0S,137,2023,NA,"Singing",NA,"Calling"
"71","637",2,"Visual","833",2023-05-17,6H 47M 0S,137,2023,NA,"Visual",NA,"Calling"
"72","638",1,"Singing","2181",2023-05-23,8H 37M 0S,143,2023,"Singing","Visual","Singing","Singing"
"73","639",2,"Singing","2181",2023-05-23,8H 37M 0S,143,2023,NA,"Singing","Singing","Singing"
"74","641",1,"Singing","933",2023-06-08,5H 49M 0S,159,2023,"Singing","Singing","Singing","Singing"
"75","642",2,"Singing","933",2023-06-08,5H 49M 0S,159,2023,NA,"Singing","Singing","Singing"
"76","643",1,"Singing","2645",2023-05-10,9H 25M 0S,130,2023,"Singing","Singing","Visual","Visual"
"77","644",3,"Visual","2645",2023-05-10,9H 25M 0S,130,2023,NA,NA,"Visual","Visual"
"78","645",2,"Singing","3501",2023-05-09,6H 52M 0S,129,2023,NA,"Singing","Singing","Singing"
"79","646",2,"Calling","2213",2023-05-20,8H 15M 0S,140,2023,NA,"Calling",NA,"Calling"
"80","647",1,"Visual","1514",2023-05-20,6H 25M 0S,140,2023,"Visual",NA,NA,NA
"81","648",4,"Singing","3698",2023-05-30,6H 45M 0S,150,2023,NA,NA,NA,"Singing"
"82","649",1,"Singing","5734",2023-06-05,8H 16M 0S,156,2023,"Singing",NA,NA,NA
"83","650",4,"Singing","1677",2023-06-05,8H 54M 0S,156,2023,NA,NA,NA,"Singing"
"84","651",1,"Singing","2751",2023-06-06,6H 51M 0S,157,2023,"Singing","Singing","Singing","Singing"
"85","652",1,"Singing","2751",2023-06-06,6H 51M 0S,157,2023,"Singing","Singing","Singing",NA
"86","653",4,"Singing","2893",2023-06-05,6H 27M 0S,156,2023,NA,NA,NA,"Singing"
"87","654",4,"Singing","1102",2023-06-08,6H 38M 0S,159,2023,NA,NA,NA,"Singing"
"88","655",1,"Singing","1102",2023-06-08,6H 38M 0S,159,2023,"Singing","Singing","Singing","Singing"
"89","656",1,"Singing","1066",2023-06-18,8H 25M 0S,169,2023,"Singing","Singing",NA,"Singing"
"90","657",1,"Singing","955",2023-06-11,6H 5M 0S,162,2023,"Singing","Singing",NA,NA
"91","658",4,"Singing","4883",2023-06-11,7H 19M 0S,162,2023,NA,NA,NA,"Singing"
"92","659",4,"Singing","4883",2023-06-11,7H 19M 0S,162,2023,NA,NA,NA,"Singing"
